run,encounterId,documentId,generate_ms,total_to_published_ms,status
1,audit-enc-1-1772445603978,625c6248-224d-4c0f-9c98-237c14dab470,34,446,PUBLISHED
2,audit-enc-2-1772445604424,2f0a7feb-82fd-4536-b451-0b8e2c401d6e,20,430,PUBLISHED
3,audit-enc-3-1772445604854,fe943e85-6c82-4598-aef9-702e1b1eb721,23,434,PUBLISHED
4,audit-enc-4-1772445605288,9f16fd9f-a58d-4204-91a3-bd5b6a314d32,24,440,PUBLISHED
5,audit-enc-5-1772445605730,1204c6f4-d7a8-4623-91dd-b973ef76ed0c,29,438,PUBLISHED
6,audit-enc-6-1772445606169,7c01b268-4944-4da7-975b-5e3c89c8db0c,20,430,PUBLISHED
7,audit-enc-7-1772445606599,ee0019bb-a335-4f95-995c-45c6f6c9c83f,22,430,PUBLISHED
8,audit-enc-8-1772445607030,eac3f6fd-62e4-49bf-8d98-6cec66a5a8b3,18,426,PUBLISHED
9,audit-enc-9-1772445607456,2fae85e0-609d-46e3-99c4-df3f649beb2c,21,430,PUBLISHED
10,audit-enc-10-1772445607886,9909d222-ed29-46b2-b63f-325fda00a1f6,23,433,PUBLISHED
