MODEL	HAS_TENANT_ID	TENANT_SCOPED_UNIQUE	UNIQUE_CT	INDEX_CT
Appointment	True	True	1	3
AuditEvent	True	False	0	4
CashTransaction	True	False	0	4
CatalogPanel	True	True	1	0
CatalogTest	True	True	1	3
Document	True	True	1	3
DocumentTemplate	True	True	1	1
Encounter	True	True	1	3
Invoice	True	True	1	4
InvoiceLine	True	True	1	1
JobRun	True	True	1	2
LabOrder	True	False	0	3
LabResult	True	False	0	2
OPDClinicalNote	True	True	1	2
OPDPrescription	True	True	1	2
OPDPrescriptionItem	True	True	1	1
OPDVisit	True	True	3	4
OPDVitals	True	False	0	1
OpdCommandLog	True	True	1	1
OpdDoctor	True	True	1	2
OpdEncounter	True	True	2	3
OpdEncounterPrescription	True	True	1	1
OpdNote	True	True	1	1
OpdPrescriptionItemKmvp	True	True	1	1
OpdVital	True	False	0	1
OpsBackupRun	True	False	0	3
OpsSchedule	True	False	0	1
OpsScheduleTarget	False	False	0	0
OpsStorageTarget	True	False	0	1
PanelTestMapping	True	True	1	1
Parameter	True	True	1	1
Patient	True	True	1	2
Payment	True	True	1	3
PrintTemplate	True	True	1	3
Provider	True	True	2	2
ProviderSchedule	True	True	1	1
ReferenceRange	True	False	0	1
RefreshToken	False	False	0	2
Role	True	True	1	1
RolePermission	False	False	0	0
SampleType	True	True	1	1
Specimen	True	True	1	1
SpecimenItem	True	True	1	2
TemplateBlueprint	False	False	0	0
Tenant	False	False	0	0
TenantConfig	True	False	0	0
TenantDomain	True	False	0	1
TenantFeature	True	True	1	1
TenantTopTest	True	True	2	1
TestParameterMapping	True	True	1	1
TestTemplateMap	True	True	1	2
User	True	True	1	1
UserRole	False	False	0	0
WorkerHeartbeat	False	False	0	0
