"app","file","line","sdk_call","method","path"
"admin","apps/admin/src/app/(protected)/account/page.tsx","34","client.GET","GET","/account/me"
"admin","apps/admin/src/app/(protected)/account/page.tsx","59","client.PATCH","PATCH","/account/me"
"admin","apps/admin/src/app/(protected)/account/page.tsx","83","client.POST","POST","/account/change-password"
"admin","apps/admin/src/app/(protected)/audit/page.tsx","21","client.GET","GET","/audit-events"
"admin","apps/admin/src/app/(protected)/branding/page.tsx","106","client.GET","GET","/me"
"admin","apps/admin/src/app/(protected)/branding/page.tsx","106","client.GET","GET","/tenants"
"admin","apps/admin/src/app/(protected)/branding/page.tsx","119","client.GET","GET","/tenants/{tenantId}/config"
"admin","apps/admin/src/app/(protected)/branding/page.tsx","127","client.PATCH","PATCH","/tenants/{tenantId}/config"
"admin","apps/admin/src/app/(protected)/catalog/import-export/page.tsx","110","client.POST","POST","/catalog/import/workbook"
"admin","apps/admin/src/app/(protected)/catalog/import-export/page.tsx","148","client.POST","POST","/catalog/export-jobs"
"admin","apps/admin/src/app/(protected)/catalog/page.tsx","16","client.GET","GET","/catalog/sample-types"
"admin","apps/admin/src/app/(protected)/catalog/page.tsx","17","client.GET","GET","/catalog/parameters"
"admin","apps/admin/src/app/(protected)/catalog/page.tsx","18","client.GET","GET","/catalog/tests"
"admin","apps/admin/src/app/(protected)/catalog/page.tsx","19","client.GET","GET","/catalog/panels"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","37","client.GET","GET","/catalog/panels"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","48","client.GET","GET","/catalog/panels/{panelId}/tests"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","55","client.GET","GET","/catalog/tests"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","62","client.GET","GET","/catalog/panels/next-id"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","92","client.PATCH","PATCH","/catalog/panels/{id}"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","94","client.POST","POST","/catalog/panels"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","104","client.DELETE","DELETE","/catalog/panels/{id}"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","125","client.POST","POST","/catalog/panels/{panelId}/tests"
"admin","apps/admin/src/app/(protected)/catalog/panels/page.tsx","137","client.DELETE","DELETE","/catalog/panels/{panelId}/tests/{testId}"
"admin","apps/admin/src/app/(protected)/catalog/parameters/page.tsx","33","client.GET","GET","/catalog/parameters"
"admin","apps/admin/src/app/(protected)/catalog/parameters/page.tsx","44","client.GET","GET","/catalog/parameters/next-id"
"admin","apps/admin/src/app/(protected)/catalog/parameters/page.tsx","83","client.PUT","PUT","/catalog/parameters/{parameterId}"
"admin","apps/admin/src/app/(protected)/catalog/parameters/page.tsx","85","client.POST","POST","/catalog/parameters"
"admin","apps/admin/src/app/(protected)/catalog/parameters/page.tsx","95","client.DELETE","DELETE","/catalog/parameters/{parameterId}"
"admin","apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx","77","client.GET","GET","/catalog/reference-ranges"
"admin","apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx","87","client.GET","GET","/catalog/parameters"
"admin","apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx","88","client.GET","GET","/catalog/tests"
"admin","apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx","102","client.GET","GET","/catalog/reference-ranges"
"admin","apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx","179","client.PUT","PUT","/catalog/reference-ranges/{id}"
"admin","apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx","181","client.POST","POST","/catalog/reference-ranges"
"admin","apps/admin/src/app/(protected)/catalog/reference-ranges/page.tsx","193","client.DELETE","DELETE","/catalog/reference-ranges/{id}"
"admin","apps/admin/src/app/(protected)/catalog/sample-types/page.tsx","30","client.GET","GET","/catalog/sample-types"
"admin","apps/admin/src/app/(protected)/catalog/sample-types/page.tsx","41","client.GET","GET","/catalog/sample-types/next-id"
"admin","apps/admin/src/app/(protected)/catalog/sample-types/page.tsx","70","client.PATCH","PATCH","/catalog/sample-types/{id}"
"admin","apps/admin/src/app/(protected)/catalog/sample-types/page.tsx","72","client.POST","POST","/catalog/sample-types"
"admin","apps/admin/src/app/(protected)/catalog/sample-types/page.tsx","82","client.DELETE","DELETE","/catalog/sample-types/{id}"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","52","client.GET","GET","/catalog/tests"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","67","client.GET","GET","/operator/catalog/tests/top"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","84","client.GET","GET","/catalog/tests/{testId}/parameters"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","91","client.GET","GET","/catalog/parameters"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","98","client.GET","GET","/catalog/tests"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","103","client.GET","GET","/catalog/tests/{testId}/parameters"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","124","client.GET","GET","/catalog/tests/next-id"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","168","client.PATCH","PATCH","/catalog/tests/{id}"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","170","client.POST","POST","/catalog/tests"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","188","client.DELETE","DELETE","/catalog/tests/{id}"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","209","client.POST","POST","/catalog/tests/{testId}/parameters"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","221","client.DELETE","DELETE","/catalog/tests/{testId}/parameters/{parameterId}"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","239","client.PATCH","PATCH","/catalog/tests/{testId}/parameters/{parameterId}"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","243","client.PATCH","PATCH","/catalog/tests/{testId}/parameters/{parameterId}"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","274","client.GET","GET","/operator/catalog/tests/search"
"admin","apps/admin/src/app/(protected)/catalog/tests/page.tsx","319","client.PUT","PUT","/admin/catalog/tests/top"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","66","client.GET","GET","/health"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","67","client.GET","GET","/jobs/failed-count"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","68","client.GET","GET","/audit-events"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","69","client.GET","GET","/patients"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","70","client.GET","GET","/encounters"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","71","client.GET","GET","/documents"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","72","client.GET","GET","/jobs"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","73","client.GET","GET","/jobs"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","74","client.GET","GET","/jobs"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","75","client.GET","GET","/jobs/failed"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","76","client.GET","GET","/audit-events"
"admin","apps/admin/src/app/(protected)/dashboard/page.tsx","77","client.GET","GET","/tenants"
"admin","apps/admin/src/app/(protected)/documents/page.tsx","31","client.GET","GET","/documents"
"admin","apps/admin/src/app/(protected)/documents/page.tsx","48","client.POST","POST","/documents/{id}:publish"
"admin","apps/admin/src/app/(protected)/encounters/page.tsx","30","client.GET","GET","/encounters"
"admin","apps/admin/src/app/(protected)/feature-flags/page.tsx","83","client.GET","GET","/me"
