app,file,line,method,path,sdk_call,openapi_operationId
admin,apps/admin/src/app/(protected)/account/page.tsx,34,GET,/account/me,client.GET,getMyAccountProfile
admin,apps/admin/src/app/(protected)/account/page.tsx,59,PATCH,/account/me,client.PATCH,updateMyAccountProfile
admin,apps/admin/src/app/(protected)/account/page.tsx,83,POST,/account/change-password,client.POST,changeMyAccountPassword
admin,apps/admin/src/app/(protected)/audit/page.tsx,21,GET,/audit-events,client.GET,listAuditEvents
admin,apps/admin/src/app/(protected)/branding/page.tsx,106,GET,/me,client.GET,getMe
admin,apps/admin/src/app/(protected)/branding/page.tsx,106,GET,/tenants,client.GET,listTenants
admin,apps/admin/src/app/(protected)/branding/page.tsx,119,GET,/tenants/{tenantId}/config,client.GET,getTenantConfig
admin,apps/admin/src/app/(protected)/branding/page.tsx,127,PATCH,/tenants/{tenantId}/config,client.PATCH,updateTenantConfig
admin,apps/admin/src/app/(protected)/catalog/import-export/page.tsx,110,POST,/catalog/import/workbook,client.POST,importCatalogWorkbook
admin,apps/admin/src/app/(protected)/catalog/import-export/page.tsx,148,POST,/catalog/export-jobs,client.POST,createExportJob
admin,apps/admin/src/app/(protected)/catalog/page.tsx,16,GET,/catalog/sample-types,client.GET,listSampleTypes
admin,apps/admin/src/app/(protected)/catalog/page.tsx,17,GET,/catalog/parameters,client.GET,listParameters
admin,apps/admin/src/app/(protected)/catalog/page.tsx,18,GET,/catalog/tests,client.GET,listCatalogTests
admin,apps/admin/src/app/(protected)/catalog/page.tsx,19,GET,/catalog/panels,client.GET,listCatalogPanels
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,37,GET,/catalog/panels,client.GET,listCatalogPanels
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,48,GET,/catalog/panels/{panelId}/tests,client.GET,listPanelTests
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,55,GET,/catalog/tests,client.GET,listCatalogTests
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,62,GET,/catalog/panels/next-id,client.GET,getNextPanelId
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,92,PATCH,/catalog/panels/{id},client.PATCH,
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,94,POST,/catalog/panels,client.POST,createCatalogPanel
admin,apps/admin/src/app/(protected)/catalog/panels/page.tsx,104,DELETE,/catalog/panels/{id},client.DELETE,
