externalId,userCode,name,resultType,defaultUnit,decimals,allowedValues,loincCode,defaultValue,isActive
p2000,17_OH_PROGESTERONE,17-OH Progesterone,numeric,ng/mL,,,,,true
p2001,25_OH_VITAMIN_D3,25-OH Vitamin - D3,numeric,ng/ml,,,,,true
p2002,A_B12_HOLOTRANSCOBALAMIN,A-B12/Holotranscobalamin.,text,pmol/L,,,,,true
p2003,A_G_RATIO,A/G Ratio,numeric,,,,,,true
p2004,ABNORMAL,Abnormal,text,%,,,,,true
p2005,ABSOLUTE_RETICULOCYTE_CO,Absolute Reticulocyte Count,text,10^12/l,,,,,true
p2006,ACE_LEVEL,ACE Level,text,U/L,,,,,true
p2007,ACTIVELY_MOTILE_SPERM,Actively Motile Sperm,text,%,,,,,true
p2008,ADENOSINE_DEAMINASE_ADA,Adenosine Deaminase (ADA),numeric,U/L,,,,,true
p2009,ADRENOCORTICOTROPIC_HORM,Adrenocorticotropic Hormone (ACTH),numeric,pg/ml,,,,,true
p2010,AFTER_INTAKE_OF_GLUCOSE,After intake of Glucose,numeric,g,,,,,true
p2011,ALBUMIN,Albumin,numeric,g/dl,,,,,true
p2012,ALBUMIN_CREATININE_RATIO,Albumin / Creatinine Ratio,text,mg/g,,,,,true
p2013,ALBUMIN_FLUID,Albumin (Fluid),numeric,g/dl,,,,,true
p2014,ALBUMIN_SPOT_URINE,Albumin (Spot Urine),numeric,mg/L,,,,,true
p2015,ALDOLASE_SERUM,Aldolase Serum,numeric,U/L,,,,,true
p2016,ALDOSTERONE_LEVEL,Aldosterone Level,numeric,ng/ml,,,,,true
p2017,ALKALAINE_PHOSPHATASE,Alkalaine Phosphatase,numeric,U/L,,,,,true
p2018,ALPHA_1_ABSOLUTE,"Alpha-1, Absolute",numeric,g/dL,,,,,true
p2019,ALPHA_2_ABSOLUTE,"Alpha-2, Absolute",numeric,g/dL,,,,,true
p2020,ALPHA_FETO_PROTEIN,Alpha Feto-Protein,numeric,ng/ml,,,,,true
p2021,AMA_ANTI_MICROSOMAL_ANTI,AMA (Anti Microsomal Antibodies) Blood,numeric,AU/ml,,,,,true
p2022,AMYLASE,Amylase,numeric,U/L,,,,,true
p2023,AMYLASE_SPOT_URINE,Amylase (Spot Urine),numeric,U/L,,,,,true
p2024,ANA_SCREEN_IGG,ANA Screen IgG,text,,,,,,true
p2025,ANCA_C_IGG,ANCA-C IgG,numeric,,,,,,true
p2026,ANCA_C_IGM,ANCA-C IgM,numeric,,,,,,true
p2027,ANCA_C_P_3_ANTIBODIES,ANCA-C (P-3 Antibodies),numeric,-,,,,,true
