parameterExternalId,testExternalId,gender,ageMinYears,ageMaxYears,rangeExpression,lowValue,highValue,criticalLow,criticalHigh,unit,notes
p2165,t2002,F,,,,,20.0,,,mm/1st hr,
p2165,t2002,M,,,,,10.0,,,mm/1st hr,
p2201,t2002,F,,,11.5-14.0,11.5,14.0,,,g/dl,
p2201,t2002,M,,,13.5-17.5,13.5,17.5,,,g/dl,
p2293,t2002,,,,4.0-6.0,4.0,6.0,,,*10^12/l,
p2200,t2002,,,,40.0-52.0,40.0,52.0,,,%,
p2239,t2002,,,,75.0-100.0,75.0,100.0,,,fl,
p2238,t2002,,,,25.0-35.0,25.0,35.0,,,pg,
p2237,t2002,,,,31.0-38.0,31.0,38.0,,,g/dl,
p2295,t2002,,,,11.0-16.0,11.0,16.0,,,%,
p2296,t2002,,,,35.0-56.0,35.0,56.0,,,fl,
p2271,t2002,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2240,t2002,,,,7.0-11.0,7.0,11.0,,,fL,
p2269,t2002,,,,9.0-17.0,9.0,17.0,,,-,
p2270,t2002,,,,1.08-2.82,1.08,2.82,,,mL/L,
p2260,t2002,,,,30.0-90.0,30.0,90.0,,,*10^9/l,
p2261,t2002,,,,0.11-0.45,0.11,0.45,,,-,
p2371,t2002,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2254,t2002,,,,40.0-75.0,40.0,75.0,,,%,
p2232,t2002,,,,20.0-50.0,20.0,50.0,,,%,
p2245,t2002,,,,2.0-10.0,2.0,10.0,,,%,
p2161,t2002,,,,1.0-6.0,1.0,6.0,,,%,
p2085,t2002,,,,0.0-1.0,0.0,1.0,,,%,
p2253,t2002,,,,2.0-7.0,2.0,7.0,,,*10^9/L,
p2231,t2002,,,,0.8-4.0,0.8,4.0,,,*10^9/l,
p2244,t2002,,,,0.12-1.2,0.12,1.2,,,*10^9/l,
p2162,t2002,,,,0.02-0.5,0.02,0.5,,,*10^9/l,
p2084,t2002,,,,0.0-0.1,0.0,0.1,,,*10^9/l,
p2083,t2002,,,,,,10.0,,,%,parsed as less_than from: Less than 10
p2145,t2004,,,,60.0-166.0,60.0,166.0,,,mg/dl,
p2124,t2004,,,,42.0-353.0,42.0,353.0,,,mg/L,
p2271,t2007,,,,150.0-400.0,150.0,400.0,,,*10^9/l,
p2371,t2007,,,,4.0-11.0,4.0,11.0,,,*10^9/l,
p2083,t2007,,,,,,10.0,,,%,parsed as less_than from: Less than 10
