testExternalId,parameterExternalId,displayOrder,isRequired,unitOverride
t2000,p2013,1,true,
t2002,p2165,1,true,
t2002,p2201,2,true,
t2002,p2293,3,true,
t2002,p2200,4,true,
t2002,p2239,5,true,
t2002,p2238,6,true,
t2002,p2237,7,true,
t2002,p2295,8,true,
t2002,p2296,9,true,
t2002,p2271,10,true,
t2002,p2240,11,true,
t2002,p2269,12,true,
t2002,p2270,13,true,
t2002,p2260,14,true,
t2002,p2261,15,true,
t2002,p2371,16,true,
t2002,p2254,18,true,
t2002,p2232,19,true,
t2002,p2245,20,true,
t2002,p2161,21,true,
t2002,p2085,22,true,
t2002,p2253,24,true,
t2002,p2231,25,true,
t2002,p2244,26,true,
t2002,p2162,27,true,
t2002,p2084,28,true,
t2002,p2083,29,true,
t2002,p2276,30,true,
t2002,p2242,31,true,
t2002,p2252,32,true,
t2002,p2081,33,true,
t2002,p2137,34,true,
t2002,p2256,35,true,
t2003,p2112,1,true,
t2004,p2145,1,true,
t2004,p2124,2,true,
t2004,p2123,3,true,
t2007,p2271,1,true,
t2007,p2371,1,true,
t2007,p2083,1,true,
t2007,p2085,2,true,
t2007,p2254,3,true,
t2007,p2161,4,true,
t2007,p2232,4,true,
t2007,p2245,5,true,
t2007,p2276,6,true,
t2007,p2241,7,true,
t2007,p2251,8,true,
t2007,p2256,9,true,
t2007,p2081,10,true,
t2008,p2162,1,true,
t2009,p2103,1,true,
t2009,p2105,1,true,
t2010,p2201,1,true,
t2011,p2196,2,true,
t2011,p2293,3,true,
t2011,p2200,4,true,
t2011,p2239,5,true,
t2011,p2238,6,true,
t2011,p2237,7,true,
t2011,p2271,8,true,
t2011,p2371,9,true,
t2011,p2256,9,true,
t2011,p2233,14,true,
t2011,p2232,20,true,
t2011,p2254,20,true,
t2011,p2163,21,true,
t2011,p2094,21,true,
t2011,p2245,21,true,
t2011,p2241,21,true,
t2011,p2251,21,true,
t2011,p2085,21,true,
t2011,p2083,21,true,
t2011,p2276,21,true,
t2011,p2184,23,true,
t2011,p2186,24,true,
t2011,p2187,24,true,
t2011,p2185,25,true,
t2011,p2188,25,true,
t2012,p2192,1,true,
t2013,p2233,1,true,
t2015,p2238,1,true,
t2016,p2237,1,true,
t2017,p2239,1,true,
t2018,p2233,36,true,
t2018,p2156,37,true,
t2018,p2254,38,true,
t2018,p2232,39,true,
t2018,p2245,40,true,
t2018,p2161,41,true,
t2018,p2085,42,true,
t2018,p2083,43,true,
t2018,p2276,44,true,
t2018,p2242,45,true,
t2018,p2252,46,true,
t2018,p2081,47,true,
t2018,p2137,48,true,
t2018,p2256,49,true,
t2019,p2271,1,true,
t2020,p2282,1,true,sec.
t2020,p2216,2,true,
t2021,p2299,1,true,
t2022,p2346,1,true,
t2023,p2293,1,true,
t2024,p2367,1,true,
t2025,p2371,1,true,
t2026,p2265,1,true,
t2027,p2171,1,true,
t2028,p2281,1,true,
t2029,p2092,1,true,
t2030,p2102,1,true,
t2030,p2302,2,true,
t2031,p2165,1,true,
t2031,p2201,2,true,
t2031,p2293,3,true,
t2031,p2200,4,true,
t2031,p2239,5,true,
t2031,p2238,6,true,
t2031,p2237,7,true,
t2031,p2295,8,true,
t2031,p2296,9,true,
t2031,p2271,10,true,
t2031,p2240,11,true,
t2031,p2269,12,true,
t2031,p2270,13,true,
t2031,p2260,14,true,
t2031,p2261,15,true,
t2031,p2371,16,true,
t2031,p2254,17,true,
t2031,p2232,18,true,
t2031,p2245,19,true,
t2031,p2161,20,true,
t2031,p2085,21,true,
t2031,p2253,22,true,
t2031,p2231,23,true,
t2031,p2244,24,true,
t2031,p2162,25,true,
t2031,p2084,26,true,
t2031,p2083,27,true,
t2031,p2276,28,true,
t2031,p2242,29,true,
t2031,p2252,30,true,
t2031,p2081,31,true,
t2031,p2137,32,true,
t2031,p2256,33,true,
t2032,p2271,1,true,
t2032,p2371,1,true,
t2032,p2083,1,true,
t2032,p2085,2,true,
t2032,p2254,3,true,
t2032,p2161,4,true,
t2032,p2232,4,true,
t2032,p2245,5,true,
t2032,p2276,6,true,
t2032,p2241,7,true,
