legacy_test_id,legacy_test_name,legacy_parameter_name,legacy_unit,legacy_type,canonical_parameterExternalId,canonical_name,canonical_defaultUnit,canonical_resultType,unit_mismatch_flag,type_mismatch_flag
12068,17-OH PROGESTERONE,17-OH Progesterone,ng/mL,Decimal,p2000,17-OH Progesterone,ng/mL,numeric,,
12006,25-OH Vitamin D3,25-OH Vitamin - D3,ng/ml,Decimal,p2001,25-OH Vitamin - D3,ng/ml,numeric,,
12033,Vitamin B12,A-B12/Holotranscobalamin.,pmol/L,Text,p2002,A-B12/Holotranscobalamin.,pmol/L,text,,
12172,SERUM PROTEIN ELECTROPHORESIS,A/G Ratio,,Decimal,p2003,A/G Ratio,,numeric,,
12190,A/G RATIO,A/G Ratio,,Decimal,p2003,A/G Ratio,,numeric,,
12289,Semen Analysis,Abnormal,%,Text,p2004,Abnormal,%,text,,
11990,Reticulocyte Count,Absolute Reticulocyte Count,10^12/l,Text,p2005,Absolute Reticulocyte Count,10^12/l,text,,
15678,ACE levels ( Angiotensin converting levels ),ACE Level,U/L,Text,p2006,ACE Level,U/L,text,,
12289,Semen Analysis,Actively Motile Sperm,%,Text,p2007,Actively Motile Sperm,%,text,,
12070,Adenosine Deaminase (ADA)- Serum,Adenosine Deaminase (ADA),U/L,Decimal,p2008,Adenosine Deaminase (ADA),U/L,numeric,,
12069,ACTH - Adrenocorticotropic hormone,Adrenocorticotropic Hormone (ACTH),pg/ml,Decimal,p2009,Adrenocorticotropic Hormone (ACTH),pg/ml,numeric,,
11981,GCT (GLUCOSE CHALLANGE TEST),After intake of Glucose,g,Integer,p2010,After intake of Glucose,g,numeric,,
12221,GLUCOSE TOLERANCE TEST (G.T.T),After intake of Glucose,g,Integer,p2010,After intake of Glucose,g,numeric,,
12172,SERUM PROTEIN ELECTROPHORESIS,Albumin,g/dl,Decimal,p2011,Albumin,g/dl,numeric,,
12190,A/G RATIO,Albumin,g/dl,Decimal,p2011,Albumin,g/dl,numeric,,
12193,Serum Albumin,Albumin,g/dL,Decimal,p2011,Albumin,g/dl,numeric,,
12192,Urine Albumin / Creatinine Ratio- ACR (Spot),Albumin / Creatinine Ratio,mg/g,Text,p2012,Albumin / Creatinine Ratio,mg/g,text,,
7,ALBUMIN (FLUID),Albumin (Fluid),g/dl,Decimal,p2013,Albumin (Fluid),g/dl,numeric,,
11963,ALBUMIN (FLUID),Albumin (Fluid),g/dl,Decimal,p2013,Albumin (Fluid),g/dl,numeric,,
12192,Urine Albumin / Creatinine Ratio- ACR (Spot),Albumin (Spot Urine),mg/L,Decimal,p2014,Albumin (Spot Urine),mg/L,numeric,UNIT_MISMATCH,
12194,Albumin Spot Urine,Albumin (Spot Urine),mg/dl,Decimal,p2014,Albumin (Spot Urine),mg/L,numeric,UNIT_MISMATCH,
13376,ALDOLASE LEVEL,Aldolase Serum,U/L,Decimal,p2015,Aldolase Serum,U/L,numeric,,
12071,Aldosterone level,Aldosterone Level,ng/ml,Decimal,p2016,Aldosterone Level,ng/ml,numeric,,
12196,ALP - Alkaline phosphatase,Alkalaine Phosphatase,U/L,Decimal,p2017,Alkalaine Phosphatase,U/L,numeric,,
12172,SERUM PROTEIN ELECTROPHORESIS,"Alpha-1, Absolute",g/dL,Decimal,p2018,"Alpha-1, Absolute",g/dL,numeric,,
12172,SERUM PROTEIN ELECTROPHORESIS,"Alpha-2, Absolute",g/dL,Decimal,p2019,"Alpha-2, Absolute",g/dL,numeric,,
12007,AFP- Alpha fetoprotein,Alpha Feto-Protein,ng/ml,Decimal,p2020,Alpha Feto-Protein,ng/ml,numeric,,
12096,ANTI MITOCHONDRIAL ANTIBODY (A.M.A),AMA (Anti Microsomal Antibodies) Blood,AU/ml,Decimal,p2021,AMA (Anti Microsomal Antibodies) Blood,AU/ml,numeric,,
12198,Serum Amylase,Amylase,U/L,Decimal,p2022,Amylase,U/L,numeric,,
11965,AMYLASE (SPOT URINE),Amylase (Spot Urine),U/L,Decimal,p2023,Amylase (Spot Urine),U/L,numeric,,
11993,ANA Screen IgG,ANA Screen IgG,,Text,p2024,ANA Screen IgG,,text,,
12075,ANCA-C IgG,ANCA-C IgG,,Decimal,p2025,ANCA-C IgG,,numeric,,
12076,ANCA-C IgM,ANCA-C IgM,,Decimal,p2026,ANCA-C IgM,,numeric,,
12074,ANCA-C (P-3 ANTIBODIES),ANCA-C (P-3 Antibodies),-,Decimal,p2027,ANCA-C (P-3 Antibodies),-,numeric,,
12073,ANCA - P (MPO ANTIBODIES),ANCA-P (MPO Antibodies),-,Decimal,p2028,ANCA-P (MPO Antibodies),-,numeric,,
12077,ANDROGEN LEVEL,Androgen Level,ng/dl,Decimal,p2029,Androgen Level,ng/dl,numeric,,
12078,ANTI CARDIOLIPIN IgG,Anti Cardiolipin IgG,U/ml,Text,p2030,Anti Cardiolipin IgG,U/ml,text,,
12079,ANTI CARDIOLIPIN IgM,Anti Cardiolipin IgM,U/ml,Text,p2031,Anti Cardiolipin IgM,U/ml,text,,
12008,Anti-CCP (Anti-Citrullinated Peptide Antibody),ANTI CCP ANTIBODY,U/mL,Text,p2032,ANTI CCP ANTIBODY,U/mL,text,,
13357,ANA PROFILE,Anti Centromere B,U/ml,Decimal,p2033,Anti Centromere B,U/ml,numeric,,
12009,Anti ds DNA IgG,Anti Ds DNA IgG,IU/ml,Decimal,p2034,Anti Ds DNA IgG,IU/ml,numeric,,
13357,ANA PROFILE,Anti dsDNA IgG,U/ml,Decimal,p2035,Anti dsDNA IgG,U/ml,numeric,,
12081,Anti Endomysial IgA,Anti Endomysial IgA,U/ml,Decimal,p2036,Anti Endomysial IgA,U/ml,numeric,,
12082,Anti Endomysial IgG,Anti Endomysial IgG,U/ml,Decimal,p2037,Anti Endomysial IgG,U/ml,numeric,,
12083,Anti GBM (ANTI GLOMERULAR BASEMENT MEMBRANE),Anti GBM (Anti Glomerular Basement Membrane),-,Decimal,p2038,Anti GBM (Anti Glomerular Basement Membrane),-,numeric,,
12084,Anti Gliadin IgA,Anti Gliadin IgA,U/ml,Decimal,p2039,Anti Gliadin IgA,U/ml,numeric,,
12085,Anti Gliadin IgG,Anti Gliadin IgG,U/ml,Text,p2040,Anti Gliadin IgG,U/ml,text,,
12087,Anti HB Core,Anti HBc,,Text,p2041,Anti HBc,,text,,
12088,ANTI HBC IgG,Anti HBc IgG,-,Decimal,p2042,Anti HBc IgG,-,numeric,,
12089,ANTI HBc IgM,Anti HBc IgM,-,Decimal,p2043,Anti HBc IgM,-,numeric,,
12324,"HCV, HBsAg (Elisa)",Anti HCV (Elisa),S/CO,Text,p2044,Anti HCV (Elisa),S/CO,text,,
12256,Anti HCV Elisa,Anti HCV Elisa Result,,List,p2045,Anti HCV Elisa Result,,coded,,
12256,Anti HCV Elisa,Anti HCV Patient's index value,S/CO,Decimal,p2046,Anti HCV Patient's index value,S/CO,numeric,,
10552,Cross Match & Screening,Anti HCV (Screening),-,List,p2047,Anti HCV (Screening),-,coded,,
12299,CROSS MATCH with Screening,Anti HCV (Screening),-,List,p2047,Anti HCV (Screening),-,coded,,
12012,Anti H Pylori Screening,Anti Helicobacter Pylori Screening,,List,p2048,Anti Helicobacter Pylori Screening,,coded,,
12094,ANTI HEV IgM,ANTI HEV IgM:,S/CO,Text,p2049,ANTI HEV IgM:,S/CO,text,,
13357,ANA PROFILE,Anti Histones,U/ml,Decimal,p2050,Anti Histones,U/ml,numeric,,
11994,ANTI HIV -1&2 Elisa,Anti HIV I & II Elisa,S/CO,Text,p2051,Anti HIV I & II Elisa,S/CO,text,,
12296,HIV Screening,Anti HIV (Screening),-,List,p2052,Anti HIV (Screening),-,coded,,
12124,ENA PROFILE,Anti Jo-1 IgG,U/ml,Decimal,p2053,Anti Jo-1 IgG,U/ml,numeric,,
13357,ANA PROFILE,Anti Jo-1 IgG,U/ml,Decimal,p2053,Anti Jo-1 IgG,U/ml,numeric,,
12095,ANTI KIDNEY LIVER MICROSOMAL ANTIBODIES,Anti Kidney Liver Microsomal Antibodies (KLM),U/ml,Decimal,p2054,Anti Kidney Liver Microsomal Antibodies (KLM),U/ml,numeric,,
13357,ANA PROFILE,Anti Mitochondrial-M2 Ab (AMA-M2),U/ml,Decimal,p2055,Anti Mitochondrial-M2 Ab (AMA-M2),U/ml,numeric,,
12097,Anti Mullerian Hormone (AMH),Anti Mullerian Hormone (AMH),ng/mL,Decimal,p2056,Anti Mullerian Hormone (AMH),ng/mL,numeric,,
12304,Anti Mullerian Hormone (AMH),Anti Mullerian Hormone (AMH),ng/mL,Decimal,p2056,Anti Mullerian Hormone (AMH),ng/mL,numeric,,
12154,LUPUS ANTICOAGULANT,Anti Nucleosome (Lupus Antibodies) Anti Coagulant,U/ml,Text,p2057,Anti Nucleosome (Lupus Antibodies) Anti Coagulant,U/ml,text,,
13357,ANA PROFILE,Anti Nucleosomes IgG,U/ml,Decimal,p2058,Anti Nucleosomes IgG,U/ml,numeric,,
13357,ANA PROFILE,Anti PCNA IgG,U/ml,Decimal,p2059,Anti PCNA IgG,U/ml,numeric,,
12099,ANTI PHOSPHOLIPID IgG,Anti Phospholipid IgG,,Decimal,p2060,Anti Phospholipid IgG,,numeric,,
12100,ANTI PHOSPHOLIPID IgM,Anti Phospholipid IgM,,Decimal,p2061,Anti Phospholipid IgM,,numeric,,
13357,ANA PROFILE,Anti PM/Scl IgG,U/ml,Decimal,p2062,Anti PM/Scl IgG,U/ml,numeric,,
13357,ANA PROFILE,Anti Ribosome Protein IgG,U/ml,Decimal,p2063,Anti Ribosome Protein IgG,U/ml,numeric,,
12124,ENA PROFILE,Anti RO-52,U/ml,Decimal,p2064,Anti RO-52,U/ml,numeric,,
13357,ANA PROFILE,Anti RO-52,U/ml,Decimal,p2064,Anti RO-52,U/ml,numeric,,
12124,ENA PROFILE,Anti ScI-70 IgG,U/ml,Decimal,p2065,Anti ScI-70 IgG,U/ml,numeric,,
13357,ANA PROFILE,Anti ScI-70 IgG,U/ml,Decimal,p2065,Anti ScI-70 IgG,U/ml,numeric,,
12101,ANTI SCL-70,Anti SCL-70 IgG,AU/ml,Decimal,p2066,Anti SCL-70 IgG,AU/ml,numeric,,
12124,ENA PROFILE,Anti Sm IgG,U/ml,Decimal,p2067,Anti Sm IgG,U/ml,numeric,,
13357,ANA PROFILE,Anti Sm IgG,U/ml,Decimal,p2067,Anti Sm IgG,U/ml,numeric,,
12124,ENA PROFILE,Anti Sm/RNP IgG,U/ml,Decimal,p2068,Anti Sm/RNP IgG,U/ml,numeric,,
13357,ANA PROFILE,Anti Sm/RNP IgG,U/ml,Decimal,p2068,Anti Sm/RNP IgG,U/ml,numeric,,
12102,ANTI SMOOTH MUSCLE Abs (A.S.M.A),Anti Smooth Muscle Antibodies (SMA),Au/ml,Decimal,p2069,Anti Smooth Muscle Antibodies (SMA),Au/ml,numeric,,
