parameterExternalId,testExternalId,raw_normal_range,unit,reason
p2232,t2011,"Adult: 25 - 40, Child: 45- 70",%,unrecognized pattern
p2254,t2011,"Adult: 55 - 70, Child: 20 - 45",%,unrecognized pattern
p2163,t2011,"Adult: 01 - 05, Child: 02 - 07",%,unrecognized pattern
p2191,t2042,Negative,-,unrecognized pattern
p2047,t2042,Negative,-,unrecognized pattern
p2207,t2042,Negative,-,unrecognized pattern
p2304,t2042,Negative,-,unrecognized pattern
p2236,t2042,Negative,-,unrecognized pattern
p2232,t2065,"Adult: 25 - 40, Child: 45- 70",%,unrecognized pattern
p2254,t2065,"Adult: 55 - 70, Child: 20 - 45",%,unrecognized pattern
p2163,t2065,"Adult: 01 - 05, Child: 02 - 07",%,unrecognized pattern
p2299,t2072,Adult:   0.5 - 2.5Infant:  0.5 - 3.0Newborn: 2.5 - 6.5,%,unrecognized pattern
p2005,t2072,0.5-1.0 x 10^12/L,10^12/l,unrecognized pattern
p2300,t2072,RPI <2: inadequate marrow responseRPI =2: suggests adequate marrow response in anaemia,,unrecognized pattern
p2078,t2280,34 Sec,Sec,unrecognized pattern
p2132,t2280,34 Sec,Sec,unrecognized pattern
p2191,t2293,Negative,-,unrecognized pattern
p2047,t2293,Negative,-,unrecognized pattern
p2207,t2293,Negative,-,unrecognized pattern
p2304,t2293,Negative,-,unrecognized pattern
p2236,t2293,Negative,-,unrecognized pattern
p2234,t2297,Negative,,unrecognized pattern
p2235,t2297,Negative,,unrecognized pattern
p2265,t2026,Neutral,,unrecognized pattern
p2051,t2076,Negative: < 0.9Borderline: 0.9 to 1.2Positive: > 1.2,S/CO,unrecognized pattern
p2246,t2082,Negative : < 9.0Grey zone :9.0 to 11.0Positive : > 11.0,,unrecognized pattern
p2312,t2086,Negative,,unrecognized pattern
p2310,t2086,Negative,,unrecognized pattern
p2314,t2282,Significant Titer 1:80,Ratio,unrecognized pattern
p2313,t2282,Significant Titer 1:80,Ratio,unrecognized pattern
p2309,t2282,Significant Titer 1:80,Ratio,unrecognized pattern
