test_id,test_name,parameter_id_or_ids,parameter_name_or_key,issue,notes
,,14; 1445,neutrophil absolute,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,1446; 99,lymphocyte absolute,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,1447; 18,monocyte absolute,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,19; 1448,eosinophil absolute,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,101; 2028,basophil absolute,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,1849; 204,pt,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,205; 15,inr,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,35; 69,aptt,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,574; 2179,albumin spot urine,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,223; 1903,hepatitis b surface antigen,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,2; 362,free t3,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,1285; 3,free t4,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,2275; 499,f d p s d dimer,same parameter name normalized form maps to multiple different parameter IDs in master list,
,,508; 1619,helicobacter pylori abs igg,same parameter name normalized form maps to multiple different parameter IDs in master list,
12343,Complete Blood Count- CBC with ESR,,mean cell volume mcv,parameter appears 2 times within same test (duplicate row),
12344,Complete Blood Count- CBC with Blood Group,,mean cell volume mcv,parameter appears 2 times within same test (duplicate row),
