test_id,test_name,status,reason,mapped_parameter_count
15,BLOOD C/E,MAPPING_EXTRACTED,,33
20,CALCIUM/CREATININE RATIO,MAPPING_EXTRACTED,,3
32,DLC,MAPPING_EXTRACTED,,13
40,GCT (GLUCOSE CHALLANGE TEST),MAPPING_EXTRACTED,,2
42,HB. ELECTROPHORESIS,MAPPING_EXTRACTED,,25
54,PERIPHERAL BLOOD SMEARS,MAPPING_EXTRACTED,,14
60,PROTHROMBIN TIME (PT with INR),MAPPING_EXTRACTED,,2
76,BLOOD GROUP & Rh FACTOR,MAPPING_EXTRACTED,,2
78,BLOOD C/E WITH ESR,MAPPING_EXTRACTED,,33
83,DLC,MAPPING_EXTRACTED,,13
93,BLOOD C/E,MAPPING_EXTRACTED,,33
94,PROTHROMBIN TIME (PT with INR),MAPPING_EXTRACTED,,2
160,Cross Match & Screening,MAPPING_EXTRACTED,,16
175,CBC with Peripheral Film,MAPPING_EXTRACTED,,26
192,CALCIUM/CREATININE RATIO,MAPPING_EXTRACTED,,3
196,CREATININE (24 hrs urine),MAPPING_EXTRACTED,,2
200,GCT (GLUCOSE CHALLANGE TEST),MAPPING_EXTRACTED,,4
202,HB. ELECTROPHORESIS,MAPPING_EXTRACTED,,24
205,Peripheral blood Film,MAPPING_EXTRACTED,,13
209,Reticulocyte Count,MAPPING_EXTRACTED,,3
212,Complete Blood Count- CBC,MAPPING_EXTRACTED,,18
213,PROTHROMBIN TIME (PT with INR),MAPPING_EXTRACTED,,3
214,APTT,MAPPING_EXTRACTED,,2
215,Blood Group,MAPPING_EXTRACTED,,2
216,CROSS MATCH with Screening,MAPPING_EXTRACTED,,12
219,Malarial Parasite (MP) ICT,MAPPING_EXTRACTED,,2
221,CBC For Dengue,MAPPING_EXTRACTED,,5
223,Prothrombin Time (PT with INR),MAPPING_EXTRACTED,,3
225,"PT, APTT, INR",MAPPING_EXTRACTED,,5
231,Complete Blood Count- CBC with ESR,MAPPING_EXTRACTED,,19
232,Complete Blood Count- CBC with Blood Group,MAPPING_EXTRACTED,,19
233,Complete Blood Count- CBC,MAPPING_EXTRACTED,,19
234,Complete Blood Count- CBC with Peripheral smear,MAPPING_EXTRACTED,,19
235,Hemoglobin (Hb) with RBC indices,MAPPING_EXTRACTED,,7
409,STOOL REDUCING SUBSTANCE,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
459,ANTI HIV -1&2 Elisa,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
464,MONOSPOT TEST,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
468,Salmonella Typhi Antigen (Serum),MAPPING_EXTRACTED,,2
470,WIDAL TEST,MAPPING_EXTRACTED,,4
471,Typhidot,MAPPING_EXTRACTED,,3
472,V.D.R.L ICT SCREENING,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
473,Urine for Pregnancy (UPT),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
475,TB (Screening) IgM & IgG,MAPPING_EXTRACTED,,2
477,HIV Screening,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
478,"HCV, HBsAg ICT",MAPPING_EXTRACTED,,2
479,Salmonella Typhi Antigen (Stool),NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
480,RA Factor,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
638,Beta 2 Glycoprotein-1 IgG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
639,Beta 2 Glycoprotein-1 IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
646,Creatinine Clearance (24 Hrs Urine & Serum),MAPPING_EXTRACTED,,4
649,IgE Level,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
738,Stool Complete Examination,MAPPING_EXTRACTED,,9
741,Urine Complete Examination,MAPPING_EXTRACTED,,20
845,Beta HCG,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
850,GROWTH HORMONE,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
853,"LH , FSH , SERUM PROLACTIN",MAPPING_EXTRACTED,,3
859,Thyroid Profile (TFT),MAPPING_EXTRACTED,,3
955,Fluid Complete Examination,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1306,Anti GBM (ANTI GLOMERULAR BASEMENT MEMBRANE),SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1310,Anti HB Core,MAPPING_EXTRACTED,,2
1314,ANTI HBs,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1316,ANTI HEV IgG,NO_PARAMETERS_RETURNED,test detail page returned zero parameter rows,0
1317,ANTI HEV IgM,SINGLE_PARAMETER_TEST,only one parameter row found despite Multi report type,1
1336,COPPER (24 HRS URINE),MAPPING_EXTRACTED,,2
