test_id,test_name,extracted_parameter_id,extracted_parameter_name,possible_parameter_match,reason,confidence
15,BLOOD C/E,,ESR,80; 152; 877; 950; 1469; 1508; 1659; 1751; 1763; 1801; 1897; 1977; 2348,13 master parameters share this normalized name (unit disambiguation narrowed to 13),medium
15,BLOOD C/E,,Hemoglobin (HB),47; 81; 840; 920; 935; 995; 1069; 1080; 1337; 1420; 1746; 1753; 1764; 1808; 1968; 2022; 2074; 2948; 2951,19 master parameters share this normalized name (unit disambiguation narrowed to 19),medium
15,BLOOD C/E,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
15,BLOOD C/E,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
15,BLOOD C/E,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
15,BLOOD C/E,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
15,BLOOD C/E,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
15,BLOOD C/E,,Red Cell Dist. Width (RDW-CV),87; 2883,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Red Cell Dist. Width (RDW-SD),88; 2884,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
15,BLOOD C/E,,Mean Platelet Volume (MPV),90; 2885,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Platelet Distribution Width (PDW),91; 2886,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,Plateletcrit (PCT),92; 1490,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
15,BLOOD C/E,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
15,BLOOD C/E,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
15,BLOOD C/E,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
15,BLOOD C/E,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
15,BLOOD C/E,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
15,BLOOD C/E,,"Neutrophil, Absolute",14; 73; 1445; 1663; 2169,5 master parameters share this normalized name (unit disambiguation narrowed to 3),medium
15,BLOOD C/E,,"Monocyte, Absolute",18; 100; 1447; 1665; 2170; 2198; 2942,7 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
15,BLOOD C/E,,"Eosinophil, Absolute",19; 70; 150; 1448; 1666; 1813; 2168; 2197; 2199; 2939; 2943,11 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
15,BLOOD C/E,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
20,CALCIUM/CREATININE RATIO,,Creatinine (Spot Urine),127; 1406; 1729; 1837; 1958; 2180; 2230; 2261,8 master parameters share this normalized name (unit disambiguation narrowed to 8),medium
32,DLC,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
32,DLC,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
32,DLC,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
32,DLC,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
32,DLC,,Eosinophil,97; 1762; 2347; 2960,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
32,DLC,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
32,DLC,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
40,GCT (GLUCOSE CHALLANGE TEST),,Blood Sugar 1-HRS,153; 1186,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
40,GCT (GLUCOSE CHALLANGE TEST),,Blood Sugar Fasting,154; 1187,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
42,HB. ELECTROPHORESIS,,Red Blood Cell (RBC),48; 82; 156; 887; 996; 1070; 1421; 1754; 1967; 2952,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
42,HB. ELECTROPHORESIS,,Hematocrit (HCT),22; 83; 1484; 1755; 1765; 1969; 2023; 2866; 2949; 2953,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
42,HB. ELECTROPHORESIS,,Mean Cell Volume (MCV),50; 84; 1017; 1748; 1756; 1970; 2024; 2880; 2954,9 master parameters share this normalized name (unit disambiguation narrowed to 9),medium
42,HB. ELECTROPHORESIS,,Mean Cell Hemoglobin (MCH),51; 85; 193; 1749; 1757; 1971; 2025; 2073; 2881; 2955,10 master parameters share this normalized name (unit disambiguation narrowed to 10),medium
42,HB. ELECTROPHORESIS,,Mean Cell Hb Conc (MCHC),52; 86; 194; 1072; 1423; 1750; 1972; 2026; 2882; 2950,10 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
42,HB. ELECTROPHORESIS,,Platelets Count,57; 89; 199; 842; 997; 1881; 1899,7 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
42,HB. ELECTROPHORESIS,,White Blood Cell (WBC/TLC),53; 95; 839; 951; 1485; 1630; 1682; 1758; 1966; 2907; 2956,11 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
42,HB. ELECTROPHORESIS,,Malarial Parasite (MP),165; 1016; 1085; 1239; 2282,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
42,HB. ELECTROPHORESIS,,Lymphocytes,58; 71; 178; 1760; 1975; 2266; 2345; 2772; 2797; 2858; 2888; 2946; 2958; 2976,14 master parameters share this normalized name (unit disambiguation narrowed to 14),medium
42,HB. ELECTROPHORESIS,,Neutrophils,54; 96; 179; 1759; 1974; 2344; 2796; 2887; 2945; 2957; 2975,11 master parameters share this normalized name (unit disambiguation narrowed to 11),medium
42,HB. ELECTROPHORESIS,,Eosinophils,20; 56; 180; 1752; 1844; 1976,6 master parameters share this normalized name (unit disambiguation narrowed to 6),medium
42,HB. ELECTROPHORESIS,,Blast cells,130; 181,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
42,HB. ELECTROPHORESIS,,Monocytes,55; 72; 311; 1761; 2346; 2947; 2959,7 master parameters share this normalized name (unit disambiguation narrowed to 7),medium
42,HB. ELECTROPHORESIS,,Band Cells,102; 2029,2 master parameters share this normalized name (unit disambiguation narrowed to 2),medium
42,HB. ELECTROPHORESIS,,HB-A,184; 1263; 1338; 2582,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
42,HB. ELECTROPHORESIS,,HB-A2,187; 1339; 1823; 2583,4 master parameters share this normalized name (unit disambiguation narrowed to 4),medium
54,PERIPHERAL BLOOD SMEARS,,Malarial Parasite (MP),165; 1016; 1085; 1239; 2282,5 master parameters share this normalized name (unit disambiguation narrowed to 5),medium
