"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","1","R.A. Factor (Quantitative)","Less Than 30","IU/mL","","Standard","Text","0 - 500","0 - 30"
"","2","Free T3","3.058-6.764","pmol/L","","Standard","Text","0 - 500","0 - 500"
"","3","FREE T4","10.53-21.16","pmol/L","","Standard","Text","0 - 500","0 - 100"
"","4","Troponin-I","< 0.10","ng/ml","","Standard","Text","0 - 250","0 - 20"
"","5","TSH","0.370-5.310","µIU/mL","","Standard","Text","0 - 500","0 - 555"
"","6","T3","1.067 - 5.238","nmol/l","","Standard","Text","0 - 500","1 - 5.5"
"","7","ASO titer","Adult: Less than 200Child: Less than 150","lu/ml","","Standard","Text","0 - 500","0 - 200"
"","8","Bleeding Time (BT)","3 - 7","minutes","","Standard","Text","0 - 500","3 - 7"
"","9","T4","61.53 - 168.7","nmol/L","","Standard","Text","0 - 500","55 - 200"
"","10","T3","1.20 - 3.17","nmol/L","","Standard","Text","0 - 500","1 - 5"
"","11","TSH","0.25 - 4.50","µIU/mL","","Standard","Text","0 - 110","0 - 6"
"","12","Serum Potassium","3.4 - 5.5","mmol/L","","Standard","Text","0 - 500","0 - 500"
"","13","Clotting Time (CT)","4 - 11","minutes","","Standard","Text","0 - 500","4 - 11"
"","14","Neutrophil, Absolute","2.0 - 7.0","*10^9/L","","Standard","Formula","0 - 999999","2 - 7"
"","15","INR","0.9 - 1.1","","","Standard","Decimal","0 - 999","0.9 - 1.1"
"","16","INR","0.9 - 1.1","","","Standard","Decimal","0 - 999","0.9 - 1.1"
"","17","INR","0.9 - 1.1","","","Standard","Decimal","0 - 999","0.9 - 1.1"
"","18","Monocyte, Absolute","0.12 - 1.20","*10^9/l","","Standard","Formula","0 - 999999","0.12 - 1.2"
"","19","Eosinophil, Absolute","0.02 - 0.50","*10^9/l","","Standard","Decimal","0 - 999","0.02 - 0.5"
"","20","Eosinophils","1 - 5","%","","Standard","Formula","0 - 100","0 - 111"
"","21","SGPT (ALT)","5 - 45","U/L","","Standard","Text","0 - 500","5 - 45"
"","22","Hematocrit (HCT)","Male: 38 - 50Female: 36 - 46","%","","Standard","Text","0 - 500","0 - 111"
"","23","T4","60.00 - 180.00","nmol/L","","Standard","Text","0 - 500","0 - 200"
"","24","Anti HIV (Screening)","Non- Reactive","-","Negative","Standard","List","0 - 500","0 - 99999"
"","25","Note","","","*","Descriptive","Text","0 - 500","0 - 99999"
"","26","Prolactin","Male: 4.04 - 15.2Female:(Not Pregnant) 4.79 - 23.3","ng/ml","","Standard","Decimal","0 - 100","2.35 - 100"
"","27","Prolactin","Male: 2.5 – 27.0 ng/mLFemale (Non-pregnant): 5.2 – 27.0 ng/mLPregnant (1st Trimester): 80.0 – 400.0 ng/mLPregnant (2nd Trimester): 110.0 – 330.0 ng/mLPregnant (3rd Trimester): 137.0 – 372.0 ng/mLPostmenopausal Female: 1.9 – 18.4 ng/mL","ng/ml","","Standard","Decimal","0 - 999999","50 - 742"
"","28","FSH","Male: 1.5 – 12.4 mIU/mlFemale (Follicular phase): 3.5 – 12.5 mIU/mlFemale (Mid-cycle peak / Ovulatory phase): 4.7 – 21.5 mIU/mlFemale (Luteal phase): 1.7 – 7.7 mIU/mlPostmenopausal Female: 25.8 – 134.8 mIU/ml","mIU/ml","","Standard","Text","0 - 500","0 - 999"
"","29","LH","Male: 1.5 – 12.4 mIU/mLFemale (Follicular phase): 3.5 – 12.5 mIU/mLFemale (Mid-cycle / Ovulatory): 4.7 – 21.5 mIU/mLFemale (Luteal phase): 1.7 – 7.7 mIU/mLPostmenopausal Female: 25.8 – 134.8 mIU/mL","mIU/ml","","Standard","Text","0 - 500","0.9 - 90"
"","30","Malarial Parasite PF","Negative","","Negative","Standard","List","0 - 500","1 - 1"
"","31","Malarial Parasite PV","Negative","","Negative","Standard","List","0 - 500","0 - 0"
"","32","Salmonella Typhi Antigen (Serum)","Negative","","Negative","Standard","Text","0 - 500","0 - 99999"
"","33","Salmonella Para Typhi Antigen (Serum)","Negative","","Negative","Standard","Text","0 - 500","0 - 99999"
"","34","ACE Level","8 - 52 U/L","U/L","","Standard","Text","0 - 500","0 - 60"
"","35","APTT","24 - 35","Seconds","","Standard","Decimal","0 - 999","24 - 35"
"","36","APTT Control","","Seconds","28","Standard","Decimal","0 - 99","0 - 35"
"","37","Comments","","","Prothrombin time and INR were determined using thromboplastin reagent with ISI 1.0.","Descriptive","AutoComplete","0 - 50000","0 - 0"
"","38","V.D.R.L ( Syphilis ) ICT","Negative","","","Standard","List","0 - 500","0 - 100"
"","39","Comments","","","","Descriptive","Text","0 - 500","0 - 0"
"","40","Crossmatch Reprot |Note:","","","","Descriptive","Text","0 - 500","0 - 0"
"","41","PSA (Prostate Specific Antigen) Total","< 4.0","ng/ml","","Standard","Text","0 - 500","0 - 500"
"","42","ProBNP (N-t) II","0.00 - 100.0","pg/ml","","Standard","Decimal","0 - 999","0 - 100"
"","43","VITAMIN B12 LEVEL","200 - 1100","pg/ml","","Standard","Text","0 - 500","0 - 99999"
"","44","A-B12/Holotranscobalamin.","5-27","pmol/L","","Standard","Text","0 - 500","0 - 0"
"","45","Reticulocyte Index","RPI <2: inadequate marrow responseRPI =2: suggests adequate marrow response in anaemia","","","Standard","Decimal","0 - 999","2 - 10"
"","46","Absolute Reticulocyte Count","0.02–0.12","*10^12/l","","Standard","Text","0 - 500","0 - 0"
"","47","Hemoglobin (HB)","Male: 13.0 - 18.0Female: 11.5 - 16.0Neonate: 13.4 - 19.9Child: 11.3 - 14.1","g/dl","","Standard","Decimal","0 - 500","11 - 18"
"","48","Red Blood Cell (RBC)","Male: 4.5-6.5Female: 4.0-6.0Neonate: 3.5-5.9Child: 3.9-5.5","*10^12/l","","Standard","Decimal","0 - 500","4 - 6.5"
"","49","HCT (PCV)","Male: 38-52Female: 36-46Child: 44-65","%","","Standard","Decimal","0 - 100","36 - 52"
"","50","Mean Cell Volume (MCV)","Adult: 75.0 - 95.0Child: 70.0 - 85.0Neonate 88.0 - 123.0","fl","","Standard","Decimal","0 - 250","75 - 95"
"","51","Mean Cell Hemoglobin (MCH)","26.0 - 32.0","pg","","Standard","Decimal","0 - 999","26 - 32"
"","52","Mean Cell Hb Conc (MCHC)","30.0 - 35.0","%","","Standard","Decimal","0 - 250","30 - 35"
"","53","White Blood Cell (WBC/TLC)","Adult: 4.0 - 11.0Child: 6.0 - 17.5Neonate: 9.0 - 30.0","*10^9/l","","Standard","Decimal","0 - 999","4 - 11"
"","54","Neutrophils","Adult: 40 - 75Child: 32 - 60","%","","Standard","Decimal","0 - 100","40 - 75"
"","55","Monocytes","Adult: 2 - 10Child: 2 - 9","%","","Standard","Decimal","0 - 100","2 - 10"
"","56","Eosinophils","Adult: 01 - 05Child: 01 - 04","%","","Standard","Decimal","0 - 100","1 - 5"
"","57","Platelets Count","150 - 400","*10^9/l","","Standard","Decimal","0 - 99999","150 - 400"
"","58","Lymphocytes","Adult: 20 - 50Child: 26 - 40","%","","Standard","Decimal","0 - 100","20 - 50"
"","59","Glomerular Filtration Rate (GFR)","Normal or high: >=90","mL/Min/1.73m^2","","Standard","Formula","0 - 999999","0 - 90"
"","60","HBsAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 9999"
"","61","HBeAg (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","62","HBeAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","63","HBcAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
